timestamp,agent,signal,confidence,win_rate,rl_action,reward,is_weekend,session,low_liquidity,high_volatility,event_window
2025-05-01 12:55:00,TimeOfDay,hold,0.5,0.5,buy,38.0,False,London,False,False,True
2025-05-01 12:50:00,TrendFinder,hold,0.1,0.5,buy,70.89999999999418,False,London,False,False,True
2025-05-01 12:50:00,VolumeSpike,hold,0.1,0.5,buy,70.89999999999418,False,London,False,False,True
2025-05-01 12:50:00,VolatilityCluster,avoid,2.8863,0.5,buy,70.89999999999418,False,London,False,False,True
2025-05-01 12:50:00,RSIRegime,hold,0.1,0.5,buy,70.89999999999418,False,London,False,False,True
2025-05-01 12:50:00,MACDDivergence,buy,0.9628,0.5,buy,70.89999999999418,False,London,False,False,True
2025-05-01 12:50:00,ADXStrength,avoid,0.4248,0.5,buy,70.89999999999418,False,London,False,False,True
2025-05-01 12:50:00,LiquidityMapper,avoid,0.0628,0.5,buy,70.89999999999418,False,London,False,False,True
2025-05-01 12:50:00,PnLClusterRebalancer,hold,0.1,0.5,buy,70.89999999999418,False,London,False,False,True
2025-05-01 12:50:00,CorrelationMonitor,hold,0.1,0.5,buy,70.89999999999418,False,London,False,False,True
2025-05-01 12:50:00,NewsSentiment,buy,0.8598,0.5,buy,70.89999999999418,False,London,False,False,True
2025-05-01 12:50:00,FundingRate,sell,0.8456,0.5,buy,70.89999999999418,False,London,False,False,True
2025-05-01 12:50:00,WhaleWallet,hold,0.1,0.5,buy,70.89999999999418,False,London,False,False,True
2025-05-01 12:50:00,TimeOfDay,hold,0.5,0.5,buy,70.89999999999418,False,London,False,False,True
2025-05-01 12:45:00,TrendFinder,hold,0.1,0.5,buy,-143.1999999999971,False,London,False,False,True
2025-05-01 12:45:00,VolumeSpike,hold,0.1,0.5,buy,-143.1999999999971,False,London,False,False,True
2025-05-01 12:45:00,VolatilityCluster,avoid,2.5481,0.5,buy,-143.1999999999971,False,London,False,False,True
2025-05-01 12:45:00,RSIRegime,hold,0.1,0.5,buy,-143.1999999999971,False,London,False,False,True
2025-05-01 12:45:00,MACDDivergence,hold,0.1,0.5,buy,-143.1999999999971,False,London,False,False,True
2025-05-01 12:45:00,ADXStrength,avoid,0.3788,0.5,buy,-143.1999999999971,False,London,False,False,True
2025-05-01 12:45:00,LiquidityMapper,avoid,0.0683,0.5,buy,-143.1999999999971,False,London,False,False,True
2025-05-01 12:45:00,PnLClusterRebalancer,hold,0.1,0.5,buy,-143.1999999999971,False,London,False,False,True
2025-05-01 12:45:00,CorrelationMonitor,hold,0.1,0.5,buy,-143.1999999999971,False,London,False,False,True
2025-05-01 12:45:00,NewsSentiment,hold,0.4952,0.5,buy,-143.1999999999971,False,London,False,False,True
2025-05-01 12:45:00,FundingRate,hold,0.1788,0.5,buy,-143.1999999999971,False,London,False,False,True
2025-05-01 12:45:00,WhaleWallet,sell,0.85,0.5,buy,-143.1999999999971,False,London,False,False,True
2025-05-01 12:45:00,TimeOfDay,hold,0.5,0.5,buy,-143.1999999999971,False,London,False,False,True
2025-05-01 12:40:00,TrendFinder,hold,0.1,0.5,buy,-175.5,False,London,False,False,True
2025-05-01 12:40:00,VolumeSpike,hold,0.1,0.5,buy,-175.5,False,London,False,False,True
2025-05-01 12:40:00,VolatilityCluster,avoid,1.9455,0.5,buy,-175.5,False,London,False,False,True
2025-05-01 12:40:00,RSIRegime,hold,0.1,0.5,buy,-175.5,False,London,False,False,True
2025-05-01 12:40:00,MACDDivergence,hold,0.1,0.5,buy,-175.5,False,London,False,False,True
2025-05-01 12:40:00,ADXStrength,avoid,0.35,0.5,buy,-175.5,False,London,False,False,True
2025-05-01 12:40:00,LiquidityMapper,hold,0.3716,0.5,buy,-175.5,False,London,False,False,True
2025-05-01 12:40:00,PnLClusterRebalancer,hold,0.1,0.5,buy,-175.5,False,London,False,False,True
2025-05-01 12:40:00,CorrelationMonitor,hold,0.1,0.5,buy,-175.5,False,London,False,False,True
2025-05-01 12:40:00,NewsSentiment,buy,0.8897,0.5,buy,-175.5,False,London,False,False,True
2025-05-01 12:40:00,FundingRate,sell,0.6891,0.5,buy,-175.5,False,London,False,False,True
2025-05-01 12:40:00,WhaleWallet,hold,0.1,0.5,buy,-175.5,False,London,False,False,True
2025-05-01 12:40:00,TimeOfDay,hold,0.5,0.5,buy,-175.5,False,London,False,False,True
